	0	Today:2023-02-16->2023-02-17
2023-02-17 10:20:48	1	提醒：\n[急肾小食量团之诚一俱乐部](572806183)监测到終極浪漫.(2475364034)高频发送指令达9/min\n最近指令: &方舟十连
2023-02-17 17:12:04	1	提醒：\n私聊窗口监测到Mlumen(962837480)高频发送指令达13/min\n最近指令: .lake129
2023-02-17 17:13:14	1	提醒：\n私聊窗口监测到Mlumen(962837480)高频发送指令达16/min\n最近指令: .lake100
2023-02-17 17:50:20	1	提醒：\n私聊窗口监测到Mlumen(962837480)高频发送指令达16/min\n最近指令: .rc困难力量
2023-02-17 17:51:42	1	提醒：\n私聊窗口监测到Mlumen(962837480)高频发送指令达18/min\n最近指令: .lake186
2023-02-17 18:14:41	1	提醒：\n私聊窗口监测到Mlumen(962837480)高频发送指令达12/min\n最近指令: .lake14
2023-02-17 18:17:15	1	提醒：\n私聊窗口监测到Mlumen(962837480)高频发送指令达14/min\n最近指令: .rc困难教育
2023-02-17 18:19:49	1	提醒：\n私聊窗口监测到Mlumen(962837480)高频发送指令达15/min\n最近指令: .lake97
2023-02-17 18:29:35	1	提醒：\n私聊窗口监测到Mlumen(962837480)高频发送指令达12/min\n最近指令: .lake77
2023-02-17 18:30:05	1	提醒：\n私聊窗口监测到Mlumen(962837480)高频发送指令达12/min\n最近指令: .rc侦查
2023-02-17 20:27:26	1	收到Mlumen(962837480)的入群邀请:[](791982072)[0/0]已同意
2023-02-17 20:27:35	1	本审判官新加入:[西伯利亚5★农家乐](791982072)[5/1000],邀请者Mlumen(962837480)，群主Mlumen(962837480)；\n用户浓度25% (1/4), 信任度0
2023-02-17 20:37:22	2	Mlumen(962837480)申请[西伯利亚5★农家乐](791982072)许可使用
2023-02-17 20:58:05	1	已授权[西伯利亚5★农家乐](791982072)许可使用
2023-02-17 22:25:22	1	提醒：\n私聊窗口监测到777(1003275176)高频发送指令达8/30s\n最近指令: &方舟十连
